time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.129157,-0.0005,-0.0113,-0.0080,0.014
2.134098,0.0136,-0.0064,-0.0032,0.015
2.139048,-0.0197,0.0033,-0.0031,0.020
2.150356,0.0043,0.0128,0.0301,0.033
2.151064,-0.0148,0.0128,0.0014,0.020
2.157288,0.0091,0.0080,0.0061,0.014
2.159262,-0.0099,0.0033,-0.0129,0.017
2.164944,0.0044,-0.0014,-0.0033,0.006
2.169564,0.0092,0.0082,0.0110,0.016
2.174054,0.0091,-0.0155,0.0014,0.018
2.178934,-0.0052,0.0037,0.0014,0.007
2.184400,0.0043,0.0131,-0.0129,0.019
2.189279,0.0280,0.0177,0.0015,0.033
2.194659,0.0090,-0.0011,0.0015,0.009
2.198907,0.0090,-0.0153,0.0110,0.021
2.203746,-0.0006,0.0133,-0.0224,0.026
2.209069,0.0136,-0.0245,-0.0079,0.029
2.213950,0.0040,0.0279,0.0111,0.030
2.219690,0.0135,-0.0007,0.0015,0.014
2.223834,0.0040,-0.0101,-0.0080,0.013
2.228852,0.0040,0.0090,0.0016,0.010
2.233942,-0.0055,0.0184,0.0016,0.019
2.239332,0.0183,0.0041,-0.0079,0.020
2.252689,0.0039,-0.0102,-0.0079,0.013
2.253430,0.0325,-0.0005,-0.0030,0.033
2.254011,-0.0106,-0.0005,-0.0078,0.013
2.258971,-0.0058,-0.0005,0.0398,0.040
2.264335,0.0132,0.0233,0.0015,0.027
2.269662,-0.0153,0.0137,-0.0033,0.021
2.274173,0.0085,0.0231,0.0252,0.035
2.278855,-0.0152,0.0325,-0.0035,0.036
2.283626,0.0228,0.0087,-0.0129,0.028
2.288767,0.0037,-0.0103,0.0062,0.013
2.294681,0.0180,0.0042,-0.0129,0.023
2.299115,0.0132,0.0042,-0.0365,0.039
2.303722,0.0130,0.0090,-0.0030,0.016
2.309042,0.0081,0.0043,-0.0124,0.015
2.313763,0.0128,-0.0053,-0.0218,0.026
2.319711,-0.0159,0.0092,-0.0169,0.025
2.324049,-0.0015,0.0092,0.0212,0.023
2.328768,0.0176,0.0281,0.0116,0.035
2.333664,0.0127,-0.0004,0.0115,0.017
2.338950,-0.0063,-0.0051,-0.0266,0.028
2.343687,0.0222,0.0045,-0.0074,0.024
2.352759,0.0031,0.0330,0.0212,0.039
2.353620,-0.0207,0.0091,0.0257,0.034
2.358896,-0.0062,0.0139,0.0065,0.017
2.363934,-0.0205,-0.0004,-0.0315,0.038
2.368509,0.0036,-0.0146,0.0067,0.016
2.374271,-0.0059,0.0093,-0.0218,0.024
2.378621,0.0226,0.0093,-0.0121,0.027
2.384207,-0.0013,0.0140,-0.0120,0.018
2.388655,-0.0012,0.0234,0.0023,0.024
2.393624,-0.0060,-0.0005,-0.0072,0.009
2.398524,0.0082,0.0043,-0.0071,0.012
2.403556,-0.0108,0.0043,-0.0071,0.014
2.408426,0.0082,-0.0053,-0.0023,0.010
2.413613,0.0082,0.0091,0.0120,0.017
2.418467,0.0081,0.0280,0.0024,0.029
2.423546,0.0128,0.0278,0.0071,0.031
2.430923,0.0128,0.0038,-0.0024,0.014
2.433526,0.0032,-0.0008,0.0166,0.017
2.446615,0.0032,0.0231,-0.0025,0.023
2.447433,0.0318,-0.0103,0.0070,0.034
2.448399,-0.0112,0.0232,-0.0073,0.027
2.453946,-0.0110,0.0419,0.0165,0.046
2.458533,0.0032,0.0085,0.0353,0.036
2.463422,0.0127,-0.0106,0.0161,0.023
2.468519,-0.0017,0.0086,-0.0221,0.024
2.473297,-0.0017,-0.0010,0.0066,0.007
2.478553,0.0125,0.0323,-0.0077,0.035
2.483210,0.0171,-0.0060,-0.0029,0.018
2.488302,0.0026,0.0178,-0.0029,0.018
2.493399,0.0168,0.0178,0.0067,0.025
2.498391,-0.0069,-0.0060,0.0114,0.015
2.503451,0.0028,0.0178,0.0208,0.027
2.508242,0.0027,0.0177,0.0063,0.019
2.513299,-0.0068,-0.0251,-0.0174,0.031
2.518449,-0.0067,-0.0059,0.0112,0.014
2.523233,0.0173,-0.0011,-0.0079,0.019
2.528479,-0.0066,-0.0012,0.0064,0.009
2.533294,-0.0255,0.0037,0.0254,0.036
2.539473,-0.0015,0.0036,-0.0128,0.013
2.543379,-0.0016,0.0178,0.0015,0.018
2.552249,0.0176,0.0130,0.0015,0.022
2.553531,-0.0254,-0.0108,-0.0175,0.033
2.558388,0.0033,0.0132,0.0254,0.029
2.563366,-0.0111,0.0274,0.0014,0.030
2.568337,-0.0015,0.0129,0.0157,0.020
2.573153,-0.0014,0.0129,0.0108,0.017
2.578746,0.0128,-0.0015,0.0154,0.020
2.583540,0.0081,0.0080,0.0153,0.019
2.588091,0.0128,0.0270,0.0152,0.034
2.593230,-0.0204,-0.0017,0.0056,0.021
2.598328,-0.0107,-0.0015,0.0198,0.023
2.603820,0.0083,0.0128,0.0006,0.015
2.608040,0.0083,-0.0110,-0.0184,0.023
2.613127,0.0034,-0.0155,0.0245,0.029
2.618561,-0.0014,-0.0106,0.0053,0.012
2.623121,-0.0107,-0.0009,0.0100,0.015
2.628697,0.0084,0.0134,0.0099,0.019
2.633150,0.0035,-0.0008,0.0288,0.029
2.639634,-0.0203,-0.0006,0.0096,0.022
2.643116,0.0132,0.0091,-0.0047,0.017
2.652916,-0.0155,0.0186,0.0048,0.025
2.653699,0.0083,0.0090,-0.0379,0.040
2.658307,-0.0012,0.0090,-0.0044,0.010
2.663011,0.0036,-0.0099,-0.0091,0.014
2.668291,-0.0011,-0.0051,0.0052,0.007
2.673521,0.0085,-0.0004,-0.0043,0.010
2.679041,0.0133,0.0187,0.0242,0.033
2.682931,-0.0152,-0.0005,0.0050,0.016
2.687928,0.0134,0.0185,-0.0283,0.036
2.692885,-0.0294,0.0231,0.0100,0.039
2.698289,0.0135,0.0182,-0.0234,0.033
2.703958,-0.0102,0.0039,-0.0089,0.014
2.707868,-0.0005,0.0182,-0.0088,0.020
2.712893,0.0090,0.0134,0.0102,0.019
2.718322,0.0041,-0.0008,-0.0088,0.010
2.722836,0.0230,0.0135,0.0150,0.031
